"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2009";"    1092";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2010";"    1121";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2011";"    1135";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2012";"    1176";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2013";"    1230";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2014";"    1242";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2015";"    1200";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2016";"    1278";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2017";"    1296";"    58.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2018";"    1332";"    58.9"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2019";"    1377";"    59.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2020";"    1298";"    54.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2021";"    1439";"    56.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2022";"    1486";"    58.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Ziekenhuiszorg";"2023*";"    1593";"    59.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2009";"     309";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2010";"     315";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2011";"     311";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2012";"     273";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2013";"     256";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2014";"     256";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2015";"     263";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2016";"     267";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2017";"     265";"    67.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2018";"     268";"    67.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2019";"     276";"    66.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2020";"     281";"    64.1"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2021";"     277";"    64.7"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2022";"     295";"    65.8"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Farmacie";"2023*";"     299";"    66.0"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2009";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2010";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2011";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2012";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2013";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2014";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2015";"";""
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2016";"";""
